idempresa,flag_salesforce,provincia_principal,ciudad_principal,region
51146082,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51331697,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
51332023,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50966500,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51325735,true,Ciudad de México,Cuautitlán Izcalli,I24_MX          Lista #01           MXN
51272857,true,Ciudad de México,Gustavo A. Madero,I24_MX          Lista #01           MXN
51309121,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
50634801,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51225430,true,Morelos,Yautepec,I24_MX          Lista #03           MXN
51299212,true,Hidalgo,Pachuca,I24_MX          Lista #03           MXN
51312673,true,Guerrero,Acapulco de Juárez,I24_MX          Lista #03           MXN
51329069,true,Quintana Roo,Benito Juárez,I24_MX          Lista #03           MXN
50665301,true,San luis Potosí,San Luis Potosí,I24_MX          Lista #03           MXN
51221417,true,Tabasco,Centro,I24_MX          Lista #03           MXN
51237610,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51300568,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
51347511,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51340882,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
51325587,true,Ciudad de México,Coyoacán,I24_MX          Lista #01           MXN
50912793,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51341980,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
50822532,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
50966468,true,Edo. de México,Tlalnepantla de Baz,I24_MX          Lista #01           MXN
51064042,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51304541,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
50498675,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
50382647,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50975713,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
51356286,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51326984,true,Ciudad de México,Azcapotzalco,I24_MX          Lista #01           MXN
50724027,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50928003,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51305224,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51167219,true,Ciudad de México,Cuajimalpa de Morelos,I24_MX          Lista #01           MXN
51210637,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51291682,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
50707659,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
51265835,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
51349178,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51332383,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50449579,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50805520,true,Ciudad de México,Cuajimalpa de Morelos,I24_MX          Lista #01           MXN
51348766,true,Ciudad de México,Azcapotzalco,I24_MX          Lista #01           MXN
50339370,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51360815,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51154862,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
51089387,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51143779,true,Edo. de México,Ecatepec de Morelos,I24_MX          Lista #01           MXN
51048422,true,Ciudad de México,Xochimilco,I24_MX          Lista #01           MXN
51262588,true,Edo. de México,Cuautitlán,I24_MX          Lista #01           MXN
50719556,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
50381795,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51343838,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51347441,true,Ciudad de México,Cuajimalpa de Morelos,I24_MX          Lista #01           MXN
51344020,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
51336672,true,Ciudad de México,Tlalpan,I24_MX          Lista #01           MXN
50709684,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
51149576,true,Ciudad de México,Cuajimalpa de Morelos,I24_MX          Lista #01           MXN
51290446,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51232542,true,Edo. de México,Ixtapan de la Sal,I24_MX          Lista #01           MXN
51195403,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51344080,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
51344108,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
50665369,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50792500,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
51299876,true,Ciudad de México,Azcapotzalco,I24_MX          Lista #01           MXN
51248750,true,Ciudad de México,Coyoacán,I24_MX          Lista #01           MXN
51245969,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51065702,true,Querétaro,El Marqués,I24_MX          Lista #02           MXN
51207078,true,Jalisco,Puerto Vallarta,I24_MX          Lista #02           MXN
51311739,true,Nuevo León,García,I24_MX          Lista #02           MXN
50697848,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
51309521,true,Edo. de México,Toluca,I24_MX          Lista #02           MXN
51302537,true,Edo. de México,Toluca,I24_MX          Lista #02           MXN
51327298,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51075005,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51117178,true,Edo. de México,Toluca,I24_MX          Lista #02           MXN
51074509,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51342862,true,Nuevo León,Salinas Victoria,I24_MX          Lista #02           MXN
51204762,true,Jalisco,Tepatitlán de Morelos,I24_MX          Lista #02           MXN
51286566,true,Nuevo León,Santa Catarina,I24_MX          Lista #02           MXN
51166781,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
50999574,true,Querétaro,Tequisquiapan,I24_MX          Lista #02           MXN
51047824,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51331423,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
51314403,true,Nuevo León,García,I24_MX          Lista #02           MXN
50912625,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
51052772,true,Querétaro,San Juan del Río,I24_MX          Lista #02           MXN
50982815,true,Veracruz,Alvarado,I24_MX          Lista #03           MXN
50352839,true,Michoacán,Morelia,I24_MX          Lista #03           MXN
51347218,true,Puebla,Amozoc,I24_MX          Lista #03           MXN
51316521,true,Quintana Roo,Solidaridad,I24_MX          Lista #03           MXN
51341632,true,Quintana Roo,Cancún,I24_MX          Lista #03           MXN
51349536,true,Quintana Roo,Tulum,I24_MX          Lista #03           MXN
51312695,true,Hidalgo,Pachuca,I24_MX          Lista #03           MXN
51187846,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
50792459,true,Chihuahua,Chihuahua,I24_MX          Lista #03           MXN
50676988,true,Guerrero,Acapulco de Juárez,I24_MX          Lista #03           MXN
51315739,true,Veracruz,Alvarado,I24_MX          Lista #03           MXN
51333566,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
51307625,true,Baja California Norte,Mexicali,I24_MX          Lista #03           MXN
51319109,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
51264384,true,Hidalgo,Pachuca,I24_MX          Lista #03           MXN
51161898,true,Aguascalientes,Aguascalientes,I24_MX          Lista #03           MXN
51333300,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
51283846,true,Michoacán,Morelia,I24_MX          Lista #03           MXN
50568847,true,Quintana Roo,Cancún,I24_MX          Lista #03           MXN
51180283,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
50950725,true,Baja California Norte,Tijuana,I24_MX          Lista #03           MXN
51161330,true,Morelos,Cuernavaca,I24_MX          Lista #03           MXN
51223304,true,Sinaloa,Culiacán,I24_MX          Lista #03           MXN
51317249,true,Quintana Roo,Tulum,I24_MX          Lista #03           MXN
51165765,true,Yucatán,Celestún,I24_MX          Lista #03           MXN
51237972,true,Zacatecas,Guadalupe,I24_MX          Lista #03           MXN
51348236,true,San luis Potosí,Soledad de Graciano Sánchez,I24_MX          Lista #03           MXN
51065161,true,Guanajuato,León,I24_MX          Lista #04           MXN
50702687,true,Guanajuato,León,I24_MX          Lista #04           MXN
50878377,true,Guanajuato,León,I24_MX          Lista #04           MXN
50972258,true,Ciudad de México,Cuajimalpa de Morelos,I24_MX          Lista #01           MXN
50519986,true,Ciudad de México,Cuajimalpa de Morelos,I24_MX          Lista #01           MXN
50974513,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
50965560,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50930199,true,Ciudad de México,Coyoacán,I24_MX          Lista #01           MXN
50904877,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
50516549,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
51289794,true,Edo. de México,Cuautitlán Izcalli,I24_MX          Lista #01           MXN
50615615,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
50971208,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
51321761,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
50764114,true,Jalisco,Tlajomulco de Zúñiga,I24_MX          Lista #01           MXN
50710232,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51298810,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
51294119,true,Ciudad de México,Iztacalco,I24_MX          Lista #01           MXN
51246155,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51190294,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51363554,true,Ciudad de México,San Mateo Atenco,I24_MX          Lista #01           MXN
50351927,true,Edo. de México,Cuautitlán Izcalli,I24_MX          Lista #01           MXN
50989329,true,Ciudad de México,Cuajimalpa de Morelos,I24_MX          Lista #01           MXN
51352856,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51205530,true,Ciudad de México,Iztapalapa,I24_MX          Lista #01           MXN
50769440,true,Ciudad de México,Cuajimalpa de Morelos,I24_MX          Lista #01           MXN
51329775,true,Jalisco,San Pedro Tlaquepaque,I24_MX          Lista #01           MXN
50697568,true,Ciudad de México,La Magdalena Contreras,I24_MX          Lista #01           MXN
50349054,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51125463,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
50980564,true,Edo. de México,Coacalco de Berriozábal,I24_MX          Lista #01           MXN
51347887,true,Jalisco,Tlajomulco de Zúñiga,I24_MX          Lista #01           MXN
51353463,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50692609,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
51245363,true,Edo. de México,Atizapán de Zaragoza,I24_MX          Lista #01           MXN
50835465,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51082857,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51190970,true,Edo. de México,Texcoco,I24_MX          Lista #01           MXN
51112322,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50970895,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51372839,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51327498,true,Nuevo León,General Escobedo,I24_MX          Lista #02           MXN
51329791,true,Edo. de México,Toluca,I24_MX          Lista #02           MXN
51231990,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51019041,true,Edo. de México,Toluca,I24_MX          Lista #02           MXN
51065029,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
50678955,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51149366,true,Jalisco,Magdalena,I24_MX          Lista #02           MXN
51329389,true,Quintana Roo,Benito Juárez,I24_MX          Lista #03           MXN
51354650,true,Sinaloa,Guasave,I24_MX          Lista #03           MXN
50354457,true,Veracruz,Veracruz,I24_MX          Lista #03           MXN
51332743,true,Aguascalientes,Aguascalientes,I24_MX          Lista #03           MXN
51219915,true,Campeche,Carmen,I24_MX          Lista #03           MXN
51004009,true,Sinaloa,Culiacán,I24_MX          Lista #03           MXN
51326986,true,San luis Potosí,San Luis Potosí,I24_MX          Lista #03           MXN
51012755,true,San luis Potosí,San Luis Potosí,I24_MX          Lista #03           MXN
51282232,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
51345057,true,Puebla,San Pedro Cholula,I24_MX          Lista #03           MXN
51364320,true,Oaxaca,Tlalixtac de Cabrera,I24_MX          Lista #03           MXN
51085324,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
51363310,true,Tamaulipas,Tampico,I24_MX          Lista #03           MXN
51295184,true,Ciudad de México,Coyoacán,I24_MX          Lista #01           MXN
51126035,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51380431,true,Edo. de México,Tlalnepantla de Baz,I24_MX          Lista #01           MXN
51347200,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
50979338,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51126519,true,Ciudad de México,Cuajimalpa de Morelos,I24_MX          Lista #01           MXN
51373538,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51111490,true,Ciudad de México,Toluca,I24_MX          Lista #01           MXN
51225868,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51374232,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
50598760,true,Edo. de México,Metepec,I24_MX          Lista #01           MXN
51366492,true,Edo. de México,Valle de Bravo,I24_MX          Lista #01           MXN
51363070,true,Ciudad de México,Gustavo A. Madero,I24_MX          Lista #01           MXN
50737393,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
50943956,true,Ciudad de México,Azcapotzalco,I24_MX          Lista #01           MXN
51052736,true,Ciudad de México,Coyoacán,I24_MX          Lista #01           MXN
51199325,true,Ciudad de México,Querétaro,I24_MX          Lista #01           MXN
51373490,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
50994966,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51365102,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51347807,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50748700,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51108000,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51364692,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51283920,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51103914,true,Jalisco,Tlajomulco de Zúñiga,I24_MX          Lista #01           MXN
50942335,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
50969648,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51258204,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
51210589,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51008086,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51383794,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51087755,true,Ciudad de México,Temixco,I24_MX          Lista #01           MXN
51373532,true,Querétaro,San Miguel de Allende,I24_MX          Lista #02           MXN
50783132,true,Nuevo León,San Pedro Garza García,I24_MX          Lista #02           MXN
51346350,true,Querétaro,Corregidora,I24_MX          Lista #02           MXN
51299538,true,Edo. de México,Toluca,I24_MX          Lista #02           MXN
51349268,true,Querétaro,El Marqués,I24_MX          Lista #02           MXN
51381121,true,Nuevo León,Santiago,I24_MX          Lista #02           MXN
51174864,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
51376965,true,Nuevo León,García,I24_MX          Lista #02           MXN
51190940,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51379017,true,Morelos,Atlatlahucan,I24_MX          Lista #03           MXN
51298119,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
51376065,true,Nayarit,Bahía de Banderas,I24_MX          Lista #03           MXN
51374138,true,Yucatán,Conkal,I24_MX          Lista #03           MXN
51187334,true,Guerrero,Acapulco de Juárez,I24_MX          Lista #03           MXN
50528008,true,Puebla,San Andrés Cholula,I24_MX          Lista #03           MXN
51366224,true,Veracruz,Boca del Río,I24_MX          Lista #03           MXN
50746165,true,Quintana Roo,Tulum,I24_MX          Lista #03           MXN
51363414,true,Quintana Roo,Solidaridad,I24_MX          Lista #03           MXN
51320242,true,San luis Potosí,San Luis Potosí,I24_MX          Lista #03           MXN
51322684,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
51300740,true,San luis Potosí,San Luis Potosí,I24_MX          Lista #03           MXN
51379347,true,Morelos,Jojutla,I24_MX          Lista #03           MXN
51375451,true,Tabasco,Villahermosa,I24_MX          Lista #03           MXN
51379917,true,Quintana Roo,Tulum,I24_MX          Lista #03           MXN
51383604,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
51338522,true,Ciudad de México,Gustavo A. Madero,I24_MX          Lista #01           MXN
50783296,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51332047,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
50753717,true,Jalisco,Tlajomulco de Zúñiga,I24_MX          Lista #01           MXN
51260268,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
51343392,true,Ciudad de México,Tlalpan,I24_MX          Lista #01           MXN
51304298,true,Ciudad de México,Gustavo A. Madero,I24_MX          Lista #01           MXN
51378207,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
51350265,true,Ciudad de México,Coyoacán,I24_MX          Lista #01           MXN
51012253,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
50932358,true,Edo. de México,Tlalnepantla de Baz,I24_MX          Lista #01           MXN
51391520,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51370897,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
51287306,true,Ciudad de México,La Magdalena Contreras,I24_MX          Lista #01           MXN
50935854,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
51289120,true,Ciudad de México,Tlalpan,I24_MX          Lista #01           MXN
51014041,true,Edo. de México,Atizapán de Zaragoza,I24_MX          Lista #01           MXN
51352788,true,Ciudad de México,La Magdalena Contreras,I24_MX          Lista #01           MXN
50983111,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
51335444,true,Edo. de México,Atizapán de Zaragoza,I24_MX          Lista #01           MXN
51297540,true,Ciudad de México,Xochimilco,I24_MX          Lista #01           MXN
50964752,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51373003,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50993466,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51034796,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
51038012,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
51349717,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
50930295,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51221811,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
50890353,true,Ciudad de México,Tlalpan,I24_MX          Lista #01           MXN
51367532,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
50651012,true,Ciudad de México,Coyoacán,I24_MX          Lista #01           MXN
50997494,true,Jalisco,Zapotlanejo,I24_MX          Lista #01           MXN
51303260,true,Jalisco,San Pedro Tlaquepaque,I24_MX          Lista #01           MXN
51316315,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50664610,true,Edo. de México,Atizapán de Zaragoza,I24_MX          Lista #01           MXN
51006116,true,Edo. de México,Atizapán de Zaragoza,I24_MX          Lista #01           MXN
51211695,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
51325303,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
50798647,true,Edo. de México,Atizapán de Zaragoza,I24_MX          Lista #01           MXN
50893449,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
51099475,true,Jalisco,Tlajomulco de Zúñiga,I24_MX          Lista #01           MXN
51339246,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51305262,true,Ciudad de México,Venustiano Carranza,I24_MX          Lista #01           MXN
50743018,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51200803,true,Ciudad de México,Cuajimalpa de Morelos,I24_MX          Lista #01           MXN
51353140,true,Edo. de México,Tlalnepantla de Baz,I24_MX          Lista #01           MXN
51347106,true,Ciudad de México,Xochimilco,I24_MX          Lista #01           MXN
51011203,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51344504,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51176593,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
51353114,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
50658877,true,Edo. de México,Valle de Bravo,I24_MX          Lista #01           MXN
50989293,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51343414,true,Ciudad de México,Tlalpan,I24_MX          Lista #01           MXN
51350887,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
51366812,true,Nuevo León,Apodaca,I24_MX          Lista #02           MXN
51351009,true,Querétaro,El Marqués,I24_MX          Lista #02           MXN
50811171,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51327024,true,Nuevo León,García,I24_MX          Lista #02           MXN
51002227,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
51383338,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51367760,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
51376579,true,Querétaro,El Marqués,I24_MX          Lista #02           MXN
51059192,true,Querétaro,Huimilpan,I24_MX          Lista #02           MXN
51383350,true,Querétaro,Corregidora,I24_MX          Lista #02           MXN
50816006,true,Nuevo León,San Nicolás de los Garza,I24_MX          Lista #02           MXN
51367012,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51307126,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
51352868,true,Nuevo León,Juárez,I24_MX          Lista #02           MXN
51349650,true,Nuevo León,Santiago,I24_MX          Lista #02           MXN
51145277,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
51109748,true,Nayarit,Bahía de Banderas,I24_MX          Lista #03           MXN
51343288,true,Yucatán,Dzilam González,I24_MX          Lista #03           MXN
51347220,true,San luis Potosí,San Luis Potosí,I24_MX          Lista #03           MXN
51383278,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
50705335,true,Veracruz,Alvarado,I24_MX          Lista #03           MXN
50969464,true,Quintana Roo,Tulum,I24_MX          Lista #03           MXN
51383090,true,Quintana Roo,Solidaridad,I24_MX          Lista #03           MXN
51288333,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
51369314,true,Hidalgo,Mineral de la Reforma,I24_MX          Lista #03           MXN
51389790,true,Oaxaca,San Pedro Mixtepec -Dto. 22 -,I24_MX          Lista #03           MXN
51255892,true,Nayarit,Bahía de Banderas,I24_MX          Lista #03           MXN
51140214,true,Puebla,Puebla,I24_MX          Lista #03           MXN
51157357,true,Puebla,Puebla,I24_MX          Lista #03           MXN
50531266,true,Quintana Roo,Naucalpan de Juárez,I24_MX          Lista #03           MXN
51332325,true,Morelos,Tepoztlán,I24_MX          Lista #03           MXN
51351653,true,Puebla,Puebla,I24_MX          Lista #03           MXN
51002583,true,Baja California Norte,Ensenada,I24_MX          Lista #03           MXN
51350634,true,Chihuahua,Chihuahua,I24_MX          Lista #03           MXN
51351211,true,Puebla,Atlixco,I24_MX          Lista #03           MXN
51045548,true,Guanajuato,León,I24_MX          Lista #04           MXN
51345669,true,Guanajuato,León,I24_MX          Lista #04           MXN
51329125,true,Guanajuato,León,I24_MX          Lista #04           MXN
50963712,true,Guanajuato,León,I24_MX          Lista #04           MXN
50998978,true,Guanajuato,León,I24_MX          Lista #04           MXN
50874572,true,Guanajuato,San Luis de la Paz,I24_MX          Lista #04           MXN
51234352,true,Edo. de México,San Mateo Atenco,I24_MX          Lista #01           MXN
51386162,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51049426,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
50347096,true,Ciudad de México,La Magdalena Contreras,I24_MX          Lista #01           MXN
51374192,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50723075,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
51150328,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51291837,true,Ciudad de México,Azcapotzalco,I24_MX          Lista #01           MXN
51135230,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50929547,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51369369,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
51195677,true,Edo. de México,Atizapán de Zaragoza,I24_MX          Lista #01           MXN
51272603,true,Ciudad de México,Cuajimalpa de Morelos,I24_MX          Lista #01           MXN
51012477,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
50864578,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51341754,true,Edo. de México,Ixtapaluca,I24_MX          Lista #01           MXN
51152822,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
51032034,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51031068,true,Edo. de México,Gustavo A. Madero,I24_MX          Lista #01           MXN
50916646,true,Ciudad de México,Iztapalapa,I24_MX          Lista #01           MXN
51366072,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
51322478,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
50520094,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
51370893,true,Ciudad de México,Tlalpan,I24_MX          Lista #01           MXN
51360341,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50504048,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50597246,true,Edo. de México,Ocoyoacac,I24_MX          Lista #01           MXN
51330812,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51027933,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51391628,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
51172682,true,Edo. de México,Atizapán de Zaragoza,I24_MX          Lista #01           MXN
50948955,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
50987238,true,Ciudad de México,Xochimilco,I24_MX          Lista #01           MXN
51321039,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51383094,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
50659865,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50861780,true,Edo. de México,Coacalco de Berriozábal,I24_MX          Lista #01           MXN
51312932,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
50796792,true,Ciudad de México,San Andrés Cholula,I24_MX          Lista #01           MXN
